response,label
"Produk ini sangat bagus dan berkualitas!",positif
"Saya merasa biasa saja dengan produk ini.",netral
"Sayang sekali produk ini tidak sesuai harapan.",negatif
"Kualitas produk mengecewakan, saya kecewa.",negatif
"Produk ini luar biasa, sangat memuaskan!",positif
"Ulasan produk sangat membantu, saya senang!",positif
"Produk ini harganya sangat terjangkau.",positif
"Sangat tidak puas dengan kualitas produk.",negatif
"Ulasan positif saya adalah karena produknya awet dan berkualitas.",positif
"Produk ini tidak sebanding dengan harganya.",negatif
"Kualitasnya biasa saja, tidak terlalu memuaskan.",netral
"Produk ini adalah barang palsu, hati-hati!",negatif
"Saya senang dengan pembelian saya ini.",positif
"Kualitasnya sangat jelek, tidak direkomendasikan.",negatif
"Produk ini sesuai dengan harapan saya.",positif
"Ulasan netral untuk produk ini.",netral
"Barang datang dalam kondisi rusak.",negatif
"Produk ini layak untuk dibeli, sangat bagus!",positif
"Kualitas produk sangat bagus, harga terjangkau.",positif
"Barang datang dengan cepat, pelayanan bagus.",positif
"Produk ini benar-benar tidak sesuai gambar.",negatif
"Kualitas produknya mengecewakan, saya kecewa.",negatif
"Ulasan positif untuk produk ini!",positif
"Produk ini tidak sesuai dengan deskripsi.",negatif
"Kualitasnya cukup bagus untuk harganya.",positif
"Barang tidak berfungsi dengan baik.",negatif
"Saya sangat puas dengan pembelian saya.",positif
"Kualitas produk tidak sebanding dengan harganya.",negatif
"Produk ini kualitasnya bagus, tapi harga terlalu mahal.",netral
"Barang rusak saat diterima, sangat kecewa.",negatif
"Ulasan positif karena produknya berkualitas.",positif
"Kualitas produknya luar biasa!",positif
"Saya merasa biasa saja dengan produk ini.",netral
"Produk ini sangat tidak direkomendasikan.",negatif
"Ulasan positif untuk produk berkualitas ini.",positif
"Kualitas produknya jelek, sangat mengecewakan.",negatif
"Saya kecewa dengan produk ini.",negatif
"Produk ini layak untuk dibeli.",positif
"Kualitas produk tidak memuaskan.",negatif
"Barang datang dalam kondisi baik, terima kasih!",positif
"Produk ini tidak sesuai dengan harapan.",negatif
"Kualitas produk bagus untuk harga tersebut.",positif
"Ulasan negatif untuk produk ini.",negatif
"Saya senang dengan kualitas produknya.",positif
"Produk ini sangat buruk, tidak direkomendasikan.",negatif
"Kualitas produk sangat baik!",positif
"Barang tidak bekerja sebagaimana mestinya.",negatif
"Saya puas dengan produk ini.",positif
"Kualitas produknya memuaskan, harga terjangkau.",positif
"Barang tidak sesuai dengan gambar.",negatif
"Ulasan netral tentang produk ini.",netral
"Produk ini adalah barang palsu!",negatif
"Kualitas produknya jelek, saya kecewa.",negatif
"Produk ini benar-benar luar biasa!",positif
"Ulasan positif saya karena pelayanan pelanggan yang baik.",positif
"Saya merasa kurang puas dengan produk ini.",netral
"Produk ini layak untuk dipertimbangkan.",positif
"Kualitas produk tidak bagus, tidak direkomendasikan.",negatif
"Barang datang dalam kondisi rusak parah.",negatif
"Produk ini sangat direkomendasikan!",positif
"Kualitas produknya tidak sesuai dengan harga.",negatif
"Saya sangat menyukai produk ini.",positif
"Produk ini kualitasnya sangat baik, terima kasih!",positif
"Saya merasa biasa saja dengan pembelian ini.",netral
"Kualitas produk mengecewakan, saya kecewa.",negatif
"Ulasan positif untuk produk berkualitas ini!",positif
"Barang datang dalam kondisi baik.",positif
"Kualitas produk sangat luar biasa!",positif
"Sangat kecewa dengan produk ini.",negatif
"Ulasan negatif untuk produk ini!",negatif
"Kualitas produknya bagus, harga wajar.",positif
"Saya tidak puas dengan produk ini.",negatif
"Produk ini sesuai dengan harapan saya.",positif
"Kualitas produk biasa saja.",netral
"Barang datang dengan cepat, tapi rusak.",negatif
"Produk ini tidak sebanding dengan harganya.",negatif
"Ulasan positif untuk produk ini!",positif
"Saya merasa kecewa dengan produk ini.",negatif
"Kualitas produk tidak bagus, sangat mengecewakan.",negatif
"Barang datang dalam kondisi rusak, sangat kecewa.",negatif
"Produk ini berkualitas sangat baik.",positif
"Kualitas produk sangat bagus, terima kasih!",positif
"Produk ini tidak sesuai dengan deskripsi.",negatif
"Saya sangat senang dengan pembelian saya ini.",positif
"Kualitas produk tidak sebanding dengan harganya.",negatif
"Ulasan positif karena produknya berkualitas.",positif
"Produk ini benar-benar luar biasa!",positif
"Saya merasa biasa saja dengan produk ini.",netral
"Produk ini sangat tidak direkomendasikan.",negatif
"Ulasan positif untuk produk berkualitas ini.",positif
"Kualitas produknya jelek, sangat mengecewakan.",negatif
"Saya kecewa dengan produk ini.",negatif
"Produk ini layak untuk dibeli.",positif
"Kualitas produk tidak memuaskan.",negatif
"Barang datang dalam kondisi baik, terima kasih!",positif
"Produk ini tidak sesuai dengan harapan.",negatif
"Kualitas produk bagus untuk harga tersebut.",positif
"Ulasan negatif untuk produk ini.",negatif
